
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018110, 0.011861, 0.000091, 1513018110, 0.011873, 0.000084, 1513018112, 0.011877, 0.000074, 35.140610, 1, 10, 6, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018121, 0.011877, 0.000074, 1513018121, 0.011879, 0.000073, 1513018123, 0.011863, 0.000085, 40.132065, 1, 10, 6, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018131, 0.011863, 0.000085, 1513018131, 0.011861, 0.000082, 1513018133, 0.011781, 0.000104, 33.665089, 1, 10, 12, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018143, 0.011781, 0.000104, 1513018143, 0.011783, 0.000102, 1513018145, 0.011834, 0.000092, 33.170689, 1, 10, 12, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018153, 0.011834, 0.000092, 1513018153, 0.011828, 0.000088, 1513018155, 0.011850, 0.000086, 36.689152, 1, 10, 12, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018163, 0.011848, 0.000095, 1513018164, 0.011853, 0.011853, 1513018166, 0.011864, 0.000075, 39.334846, 1, 10, 12, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018176, 0.011848, 0.000086, 1513018176, 0.011846, 0.000085, 1513018178, 0.011853, 0.000090, 35.038494, 1, 10, 36, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018186, 0.011853, 0.000090, 1513018186, 0.011852, 0.000086, 1513018188, 0.011861, 0.000083, 33.719551, 1, 10, 36, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018197, 0.011861, 0.000083, 1513018197, 0.011861, 0.000081, 1513018199, 0.011856, 0.000079, 34.671169, 1, 10, 36, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018207, 0.011855, 0.000083, 1513018207, 0.011865, 0.001386, 1513018209, 0.011878, 0.000064, 38.602753, 1, 10, 36, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018217, 0.011880, 0.000067, 1513018217, 0.011881, 0.000064, 1513018219, 0.011868, 0.000069, 34.421856, 1, 10, 72, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018226, 0.011861, 0.000068, 1513018226, 0.011860, 0.000064, 1513018228, 0.011875, 0.000063, 35.157536, 1, 10, 72, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018236, 0.011875, 0.000063, 1513018236, 0.011872, 0.000062, 1513018238, 0.011852, 0.000083, 36.644417, 1, 10, 72, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018250, 0.011849, 0.000080, 1513018251, 0.011847, 0.011847, 1513018253, 0.011865, 0.000073, 38.835808, 1, 10, 72, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018260, 0.011853, 0.000074, 1513018260, 0.011849, 0.000071, 1513018262, 0.011841, 0.000085, 35.696735, 1, 10, 144, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018271, 0.011867, 0.000081, 1513018271, 0.011866, 0.000076, 1513018273, 0.011840, 0.000096, 33.906559, 1, 10, 144, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018280, 0.011840, 0.000096, 1513018280, 0.011852, 0.000088, 1513018282, 0.011858, 0.000073, 35.217472, 1, 10, 144, 512
